pls	vals
p0	none
p1	none
p2	none
p3	none
p4	none
p5	none
p6	none
p7	none
p8	none
p9	none
p10	none
p11	none
p12	none
p13	none
p14	none
p15	none
p16	none
p17	none
p18	none
p19	none
p20	none
p21	none
p22	none
p23	none
p24	none
p25	none
p26	none
p27	none
p28	none
p29	none
p30	large
p31	none
p32	none
p33	none
p34	none
p35	none
p36	none
p37	medium
p38	none
p39	small
p40	none
p41	none
p42	none
p43	large
p44	none
p45	none
p46	none
p47	none
p48	none
p49	none
p50	none
p51	none
p52	none
p53	none
p54	none
p55	none
p56	none
p57	none
p58	none
p59	small
p60	none
p61	none
p62	none
p63	none
p64	medium
p65	none
p66	none
p67	none
p68	none
p69	none
p70	none
p71	none
p72	none
p73	small
p74	none
p75	small
p76	none
p77	none
p78	medium
p79	none
p80	medium
p81	medium
p82	medium
p83	none
p84	none
p85	none
p86	medium
p87	medium
p88	medium
p89	none
p90	medium
p91	none
p92	none
p93	none
p94	none
p95	none
p96	medium
p97	medium
p98	medium
p99	none
